UniprotID	Q6P0Q8-2
Accession	Q6P0Q8;O94899;Q5VT07;Q5VT08;Q7LGC4;Q8NDG1;Q96B94;Q9BYE8
EntryName	MAST2_HUMAN
ProteinName	Microtubule-associated serine/threonine-protein kinase 2 (EC 2.7.11.1)
GeneName	MAST2 KIAA0807 MAST205
Length	1608
Function	Appears to link the dystrophin/utrophin network with microtubule filaments via the syntrophins. Phosphorylation of DMD or UTRN may modulate their affinities for associated proteins. Functions in a multi-protein complex in spermatid maturation. Regulates lipopolysaccharide-induced IL-12 synthesis in macrophages by forming a complex with TRAF6, resulting in the inhibition of TRAF6 NF-kappa-B activation (By similarity).
Subcellular Location	Cytoplasm; Cytoskeleton; Cell membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.97635776
pNuLoCRegion	1...21
