UniprotID	Q96T88-2
Accession	Q96T88;A0JBR2;A8K024;B2RBA9;Q2HIX7;Q8J022;Q9H6S6;Q9P115;Q9P1U7
EntryName	UHRF1_HUMAN
ProteinName	E3 ubiquitin-protein ligase UHRF1 (EC 2.3.2.27) (Inverted CCAAT box-binding protein of 90 kDa) (Nuclear protein 95) (Nuclear zinc finger protein Np95) (HuNp95) (hNp95) (RING finger protein 106) (RING-type E3 ubiquitin transferase UHRF1) (Transcription factor ICBP90) (Ubiquitin-like PHD and RING finger domain-containing protein 1) (hUHRF1) (Ubiquitin-like-containing PHD and RING finger domains protein 1)
GeneName	UHRF1 ICBP90 NP95 RNF106
Length	806
Function	Multidomain protein that acts as a key epigenetic regulator by bridging DNA methylation and chromatin modification. Specifically recognizes and binds hemimethylated DNA at replication forks via its YDG domain and recruits DNMT1 methyltransferase to ensure faithful propagation of the DNA methylation patterns through DNA replication. In addition to its role in maintenance of DNA methylation, also plays a key role in chromatin modification: through its tudor-like regions and PHD-type zinc fingers, specifically recognizes and binds histone H3 trimethylated at 'Lys-9' (H3K9me3) and unmethylated at 'Arg-2' (H3R2me0), respectively, and recruits chromatin proteins. Enriched in pericentric heterochromatin where it recruits different chromatin modifiers required for this chromatin replication. Also localizes to euchromatic regions where it negatively regulates transcription possibly by impacting DNA methylation and histone modifications. Has E3 ubiquitin-protein ligase activity by mediating the ubiquitination of target proteins such as histone H3 and PML. It is still unclear how E3 ubiquitin-protein ligase activity is related to its role in chromatin in vivo. Plays a role in DNA repair by cooperating with UHRF2 to ensure recruitment of FANCD2 to interstrand cross-links (ICLs) leading to FANCD2 activation. Acts as a critical player of proper spindle architecture by catalyzing the 'Lys-63'-linked ubiquitination of KIF11, thereby controlling KIF11 localization on the spindle (PubMed:37728657).
Subcellular Location	Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.5206169
pNuLoCRegion	
