UniprotID	Q96PH1-2
Accession	Q96PH1;B2RBJ4;Q08AN2;Q08AN3;Q8TEQ1;Q8TER4;Q96PH2;Q96PJ8;Q96PJ9;Q9H6E0;Q9HAM8
EntryName	NOX5_HUMAN
ProteinName	NADPH oxidase 5 (EC 1.6.3.-)
GeneName	NOX5
Length	747
Function	Calcium-dependent NADPH oxidase that catalyzes the generation of superoxide from molecular oxygen utilizing NADPH as an electron donor (PubMed:12686516). May play a role in cell growth and apoptosis (PubMed:12686516).
Subcellular Location	Endoplasmic reticulum; Cell membrane; Endoplasmic reticulum
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.20924996
pNuLoCRegion	27...34;88...105;155...165;198...213
