UniprotID	Q8TD84-2
Accession	Q8TD84;G3V1B5;Q76MU9;Q8IZY3;Q8IZY4;Q8WXU7;Q9ULT7
EntryName	DSCL1_HUMAN
ProteinName	Cell adhesion molecule DSCAML1 (Down syndrome cell adhesion molecule 2) (Down syndrome cell adhesion molecule-like protein 1)
GeneName	DSCAML1 DSCAM2 KIAA1132
Length	1843
Function	Cell adhesion molecule that plays a role in neuronal self-avoidance (PubMed:11453658). Promotes repulsion between specific neuronal processes of either the same cell or the same subtype of cells. Promotes both isoneuronal self-avoidance for creating an orderly neurite arborization in retinal rod bipolar cells and heteroneuronal self-avoidance to maintain mosaic spacing between AII amacrine cells (By similarity). Adhesion molecule that promotes lamina-specific synaptic connections in the retina: expressed in specific subsets of interneurons and retinal ganglion cells (RGCs) and promotes synaptic connectivity via homophilic interactions (By similarity).
Subcellular Location	Cell membrane; Synapse
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.1308286
pNuLoCRegion	23...39
