UniprotID	Q9UMS6-5
Accession	Q9UMS6;B2RWP6;B2Y8J9;C6H0M7;Q9UK89;S5XAM4
EntryName	SYNP2_HUMAN
ProteinName	Synaptopodin-2 (Genethonin-2) (Myopodin)
GeneName	SYNPO2
Length	698
Function	Has an actin-binding and actin-bundling activity. Can induce the formation of F-actin networks in an isoform-specific manner (PubMed:23225103, PubMed:24005909). At the sarcomeric Z lines is proposed to act as adapter protein that links nascent myofibers to the sarcolemma via ZYX and may play a role in early assembly and stabilization of the Z lines. Involved in autophagosome formation. May play a role in chaperone-assisted selective autophagy (CASA) involved in Z lines maintenance in striated muscle under mechanical tension; may link the client-processing CASA chaperone machinery to a membrane-tethering and fusion complex providing autophagosome membranes (By similarity). Involved in regulation of cell migration (PubMed:22915763, PubMed:25883213). May be a tumor suppressor (PubMed:16885336).
Subcellular Location	Nucleus; Cytoplasm; Cytoplasm; Cytoskeleton; Cytoplasm; Myofibril; Sarcomere; Z line; Cell junction; Focal adhesion; Cytoplasm; Cytoskeleton; Cytoplasm; Cytoskeleton; Cytoplasm; Cytoskeleton; Cytoplasm; Cytoskeleton; Cytoplasm; Cytoskeleton
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.965398
pNuLoCRegion	1...21
