UniprotID	Q6YHK3-2
Accession	Q6YHK3;A5YKK4;B2R948;B3KW25;Q0P6K7;Q5SYA8;Q5XUM7;Q5XUM9;Q6MZI7;Q8N3A7;Q8N915;Q8TDJ2;Q8TDJ3
EntryName	CD109_HUMAN
ProteinName	CD109 antigen (150 kDa TGF-beta-1-binding protein) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 7) (Platelet-specific Gov antigen) (p180) (r150) (CD antigen CD109)
GeneName	CD109 CPAMD7
Length	1368
Function	Modulates negatively TGFB1 signaling in keratinocytes.
Subcellular Location	Cell membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.24189472
pNuLoCRegion	99...120
