UniprotID	Q9NQV6-5
Accession	Q9NQV6;B7ZL71;G3XAE5;J3KP23;Q17R90;Q2KHR4;Q863Z2;Q9NXI4;Q9ULI9
EntryName	PRD10_HUMAN
ProteinName	PR domain zinc finger protein 10 (EC 2.1.1.-) (PR domain-containing protein 10) (Tristanin)
GeneName	PRDM10 KIAA1231 PFM7 TRIS
Length	1074
Function	Acts as a transcriptional activator of FLNC expression.
Subcellular Location	Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.966491
pNuLoCRegion	15...35;49...68;309...317;354...356;414...439;461...478;530...547;584...616
