UniprotID	Q5VUJ6-2
Accession	Q5VUJ6;F5H2T1;Q08AD5;Q9HA88;Q9P233
EntryName	LRCH2_HUMAN
ProteinName	Leucine-rich repeat and calponin homology domain-containing protein 2
GeneName	LRCH2 KIAA1495
Length	748
Function	May play a role in the organization of the cytoskeleton.
Subcellular Location	
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.9528269
pNuLoCRegion	4...43
