UniprotID	Q8NBS3-5
Accession	Q8NBS3;B4DKC8;B4DKX9;G3V1M3;Q2TB62;Q2TB63;Q9BXF4;Q9NTW9
EntryName	S4A11_HUMAN
ProteinName	Solute carrier family 4 member 11 (Sodium borate cotransporter 1) (NaBC1)
GeneName	SLC4A11 BTR1
Length	856
Function	Multifunctional transporter with an impact in cell morphology and differentiation. In the presence of borate B(OH)4(-), acts as a voltage-dependent electrogenic Na(+)-coupled B(OH)4(-) cotransporter controlling boron homeostasis (PubMed:15525507). At early stages of stem cell differentiation, participates in synergy with ITGA5-ITGB1 and ITGAV-ITGB3 integrins and BMPR1A to promote cell adhesion and contractility that drives differentiation toward osteogenic commitment while inhibiting adipogenesis (By similarity). In the absence of B(OH)4(-), acts as a Na(+)-coupled OH(-) or H(+) permeable channel with implications in cellular redox balance (PubMed:15525507, PubMed:28642546). Regulates the oxidative stress response in corneal endothelium by enhancing antioxidant defenses and protecting cells from reactive oxygen species (PubMed:28642546). In response to hypo-osmotic challenge, also acts as a water permeable channel at the basolateral cell membrane of corneal endothelial cells and facilitates transendothelial fluid reabsorption in the aqueous humor (PubMed:23813972, PubMed:25007886, PubMed:31273259). In the presence of ammonia, acts as an electrogenic NH3/H(+) cotransporter and may play a role in ammonia transport and reabsorption in renal Henle's loop epithelium (PubMed:27581649).
Subcellular Location	Cell membrane; Basolateral cell membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.12543632
pNuLoCRegion	29...38;273...275
