UniprotID	Q9UER7-4
Accession	Q9UER7;B4E1I3;F5ANJ6;F5ANJ7;F5H082;O14747;O15141;O15208;Q5STK9;Q9BWI3
EntryName	DAXX_HUMAN
ProteinName	Death domain-associated protein 6 (Daxx) (hDaxx) (ETS1-associated protein 1) (EAP1) (Fas death domain-associated protein)
GeneName	DAXX BING2 DAP6
Length	688
Function	Transcription corepressor known to repress transcriptional potential of several sumoylated transcription factors. Down-regulates basal and activated transcription. Its transcription repressor activity is modulated by recruiting it to subnuclear compartments like the nucleolus or PML/POD/ND10 nuclear bodies through interactions with MCSR1 and PML, respectively. Seems to regulate transcription in PML/POD/ND10 nuclear bodies together with PML and may influence TNFRSF6-dependent apoptosis thereby. Inhibits transcriptional activation of PAX3 and ETS1 through direct protein-protein interactions. Modulates PAX5 activity; the function seems to involve CREBBP. Acts as an adapter protein in a MDM2-DAXX-USP7 complex by regulating the RING-finger E3 ligase MDM2 ubiquitination activity. Under non-stress condition, in association with the deubiquitinating USP7, prevents MDM2 self-ubiquitination and enhances the intrinsic E3 ligase activity of MDM2 towards TP53, thereby promoting TP53 ubiquitination and subsequent proteasomal degradation. Upon DNA damage, its association with MDM2 and USP7 is disrupted, resulting in increased MDM2 autoubiquitination and consequently, MDM2 degradation, which leads to TP53 stabilization. Acts as a histone chaperone that facilitates deposition of histone H3.3. Acts as a targeting component of the chromatin remodeling complex ATRX:DAXX which has ATP-dependent DNA translocase activity and catalyzes the replication-independent deposition of histone H3.3 in pericentric DNA repeats outside S-phase and telomeres, and the in vitro remodeling of H3.3-containing nucleosomes. Does not affect the ATPase activity of ATRX but alleviates its transcription repression activity. Upon neuronal activation associates with regulatory elements of selected immediate early genes where it promotes deposition of histone H3.3 which may be linked to transcriptional induction of these genes. Required for the recruitment of histone H3.3:H4 dimers to PML-nuclear bodies (PML-NBs); the process is independent of ATRX and facilitated by ASF1A; PML-NBs are suggested to function as regulatory sites for the incorporation of newly synthesized histone H3.3 into chromatin. In case of overexpression of centromeric histone variant CENPA (as found in various tumors) is involved in its mislocalization to chromosomes; the ectopic localization involves a heterotypic tetramer containing CENPA, and histones H3.3 and H4 and decreases binding of CTCF to chromatin. Proposed to mediate activation of the JNK pathway and apoptosis via MAP3K5 in response to signaling from TNFRSF6 and TGFBR2. Interaction with HSPB1/HSP27 may prevent interaction with TNFRSF6 and MAP3K5 and block DAXX-mediated apoptosis. In contrast, in lymphoid cells JNC activation and TNFRSF6-mediated apoptosis may not involve DAXX. Shows restriction activity towards human cytomegalovirus (HCMV). Plays a role as a positive regulator of the heat shock transcription factor HSF1 activity during the stress protein response (PubMed:15016915).
Subcellular Location	Cytoplasm; Nucleus; Nucleoplasm; Nucleus; PML body; Nucleus; Nucleolus; Chromosome; Centromere; Nucleus; Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.87889147
pNuLoCRegion	8...27;636...644
