UniprotID	Q9HCI6-2
Accession	Q9HCI6;A8K4M3;Q8IW25
EntryName	K1586_HUMAN
ProteinName	E3 SUMO-protein ligase KIAA1586 (EC 2.3.2.-) (E3 SUMO-protein transferase KIAA1586)
GeneName	KIAA1586
Length	737
Function	E3 SUMO-protein ligase; facilitates UBE2I/UBC9-mediated SUMO2 modification of target proteins (PubMed:26524493).
Subcellular Location	
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.7482536
pNuLoCRegion	21...48;53...71
