UniprotID	Q7RTY8-2
Accession	Q7RTY8;C9J8P7;E9PAS3;Q17RH4
EntryName	TMPS7_HUMAN
ProteinName	Transmembrane protease serine 7 (EC 3.4.21.-) (Matriptase-3)
GeneName	TMPRSS7
Length	717
Function	Serine protease which preferentially hydrolyzes peptides with Arg at the P1 position.
Subcellular Location	Cell membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.61031955
pNuLoCRegion	4...38;99...99;275...288;306...330
