UniprotID	Q9H2X9-2
Accession	Q9H2X9;A2RTX2;Q5VZ41;Q9H4Z0;Q9ULP4
EntryName	S12A5_HUMAN
ProteinName	Solute carrier family 12 member 5 (Electroneutral potassium-chloride cotransporter 2) (K-Cl cotransporter 2) (hKCC2) (Neuronal K-Cl cotransporter)
GeneName	SLC12A5 KCC2 KIAA1176
Length	1116
Function	Mediates electroneutral potassium-chloride cotransport in mature neurons and is required for neuronal Cl(-) homeostasis (PubMed:12106695). As major extruder of intracellular chloride, it establishes the low neuronal Cl(-) levels required for chloride influx after binding of GABA-A and glycine to their receptors, with subsequent hyperpolarization and neuronal inhibition (By similarity). Involved in the regulation of dendritic spine formation and maturation (PubMed:24668262).
Subcellular Location	Cell membrane; Cell projection; Dendrite
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.033952475
pNuLoCRegion	4...12;76...84
