UniprotID	Q96AQ6-2
Accession	Q96AQ6;Q5T174;Q5T176;Q9H8X6;Q9HA02;Q9HD85
EntryName	PBIP1_HUMAN
ProteinName	Pre-B-cell leukemia transcription factor-interacting protein 1 (Hematopoietic PBX-interacting protein)
GeneName	PBXIP1 HPIP
Length	702
Function	Regulator of pre-B-cell leukemia transcription factors (BPXs) function. Inhibits the binding of PBX1-HOX complex to DNA and blocks the transcriptional activity of E2A-PBX1. Tethers estrogen receptor-alpha (ESR1) to microtubules and allows them to influence estrogen receptors-alpha signaling.
Subcellular Location	Cytoplasm; Cytoskeleton; Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.46190616
pNuLoCRegion	29...44;466...481;640...651
