UniprotID	Q8TDD1-2
Accession	Q8TDD1;Q86YT8;Q9BRZ1
EntryName	DDX54_HUMAN
ProteinName	ATP-dependent RNA helicase DDX54 (EC 3.6.4.13) (ATP-dependent RNA helicase DP97) (DEAD box RNA helicase 97 kDa) (DEAD box protein 54)
GeneName	DDX54
Length	882
Function	Has RNA-dependent ATPase activity. Represses the transcriptional activity of nuclear receptors.
Subcellular Location	Nucleus; Nucleolus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.92669857
pNuLoCRegion	93...97;598...611;654...676
