UniprotID	Q8NCS7-4
Accession	Q8NCS7;A0A0A0MRP1;B5MCU3;Q4G0K0;Q8NA44;Q8NB86
EntryName	CTL5_HUMAN
ProteinName	Choline transporter-like protein 5 (Solute carrier family 44 member 5)
GeneName	SLC44A5 CTL5
Length	717
Function	Choline/H+ antiporter.
Subcellular Location	Cell membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.017106365
pNuLoCRegion	7...17
