UniprotID	Q9Y5H5-2
Accession	Q9Y5H5;O15053;Q2M3S5
EntryName	PCDA9_HUMAN
ProteinName	Protocadherin alpha-9 (PCDH-alpha-9)
GeneName	PCDHA9 KIAA0345
Length	842
Function	Potential calcium-dependent cell-adhesion protein. May be involved in the establishment and maintenance of specific neuronal connections in the brain.
Subcellular Location	Cell membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.0366724
pNuLoCRegion	1...10;237...241
