UniprotID	Q86XI8-2
Accession	Q86XI8;A0A087WWL5
EntryName	ZSWM9_HUMAN
ProteinName	Uncharacterized protein ZSWIM9
GeneName	ZSWIM9 C19orf68
Length	920
Function	
Subcellular Location	
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.3131396
pNuLoCRegion	46...53;115...129
