UniprotID	Q8N2E2-3
Accession	Q8N2E2;B7ZM77;Q96SQ3
EntryName	VWDE_HUMAN
ProteinName	von Willebrand factor D and EGF domain-containing protein
GeneName	VWDE
Length	1044
Function	
Subcellular Location	Secreted
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.88460433
pNuLoCRegion	19...38;63...68;213...214;231...258;501...512;735...745
