UniprotID	Q9UK17-2
Accession	Q9UK17;O60576;O60577;Q14D71;Q5T0M0;Q9UH85;Q9UH86;Q9UK16
EntryName	KCND3_HUMAN
ProteinName	A-type voltage-gated potassium channel KCND3 (Potassium voltage-gated channel subfamily D member 3) (Voltage-gated potassium channel subunit Kv4.3)
GeneName	KCND3
Length	636
Function	Pore-forming (alpha) subunit of voltage-gated A-type potassium channels that mediates transmembrane potassium transport in excitable membranes, in brain and heart (PubMed:10200233, PubMed:17187064, PubMed:21349352, PubMed:22457051, PubMed:23280837, PubMed:23280838, PubMed:34997220, PubMed:9843794). In cardiomyocytes, may generate the transient outward potassium current I(To) (By similarity). In neurons, may conduct the transient subthreshold somatodendritic A-type potassium current (ISA) (By similarity). Kinetics properties are characterized by fast activation at subthreshold membrane potentials, rapid inactivation, and quick recovery from inactivation (PubMed:10200233, PubMed:17187064, PubMed:21349352, PubMed:22457051, PubMed:23280837, PubMed:23280838, PubMed:34997220, PubMed:9843794). Channel properties are modulated by interactions with regulatory subunits (PubMed:17187064, PubMed:34997220). Interaction with the regulatory subunits KCNIP1 or KCNIP2 modulates the channel gating kinetics namely channel activation and inactivation kinetics and rate of recovery from inactivation (PubMed:17187064, PubMed:34997220). Likewise, interaction with DPP6 modulates the channel gating kinetics namely channel activation and inactivation kinetics (PubMed:34997220).
Subcellular Location	Cell membrane; Cell membrane; Sarcolemma; Cell projection; Dendrite
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.049664013
pNuLoCRegion	136...164
