UniprotID	Q3KQU3-2
Accession	Q3KQU3;D3DPS4;Q7L8J5;Q8N905;Q8TAK0;Q9HBQ2;Q9NW29;Q9ULN3
EntryName	MA7D1_HUMAN
ProteinName	MAP7 domain-containing protein 1 (Arginine/proline-rich coiled-coil domain-containing protein 1) (Proline/arginine-rich coiled-coil domain-containing protein 1)
GeneName	MAP7D1 KIAA1187 PARCC1 RPRC1 PP2464
Length	803
Function	Microtubule-stabilizing protein involved in the control of cell motility and neurite outgrowth. Facilitate microtubule stabilization through the maintenance of acetylated stable microtubules.
Subcellular Location	Cytoplasm; Cytoskeleton; Spindle; Cytoplasm; Cytoskeleton; Cytoplasm; Cytoskeleton; Microtubule organizing center; Centrosome; Midbody
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.71018255
pNuLoCRegion	65...72;378...387;503...510
