UniprotID	Q8WZA2-3
Accession	Q8WZA2;B2R7R3;B7Z283;B7Z3T6;B7Z912;O95636;Q8IXK6;Q8TAA4
EntryName	RPGF4_HUMAN
ProteinName	Rap guanine nucleotide exchange factor 4 (Exchange factor directly activated by cAMP 2) (Exchange protein directly activated by cAMP 2) (EPAC 2) (cAMP-regulated guanine nucleotide exchange factor II) (cAMP-GEFII)
GeneName	RAPGEF4 CGEF2 EPAC2
Length	867
Function	Guanine nucleotide exchange factor (GEF) for RAP1A, RAP1B and RAP2A small GTPases that is activated by binding cAMP. Seems not to activate RAB3A. Involved in cAMP-dependent, PKA-independent exocytosis through interaction with RIMS2 (By similarity).
Subcellular Location	Cytoplasm; Membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.3192493
pNuLoCRegion	104...128;501...520
