UniprotID	Q86SQ4-2
Accession	Q86SQ4;Q5TGN7;Q6DHZ4;Q6F3F5;Q6F3F6;Q6F3F7;Q6F3F8;Q6MZU7;Q8IXA4;Q8NC14;Q96JW0
EntryName	AGRG6_HUMAN
ProteinName	Adhesion G-protein coupled receptor G6 (Developmentally regulated G-protein-coupled receptor) (G-protein coupled receptor 126) (Vascular inducible G protein-coupled receptor) [Cleaved into: ADGRG6 N-terminal fragment (ADGRG6-NTF); ADGRG6 C-terminal fragment (ADGRG6-CTF)]
GeneName	ADGRG6 DREG GPR126 VIGR
Length	1193
Function	G-protein coupled receptor which is activated by type IV collagen, a major constituent of the basement membrane (By similarity). Couples to G(i)-proteins as well as G(s)-proteins (PubMed:24227709). Essential for normal differentiation of promyelinating Schwann cells and for normal myelination of axons (PubMed:24227709). Regulates neural, cardiac and ear development via G-protein- and/or N-terminus-dependent signaling (By similarity). May act as a receptor for PRNP which may promote myelin homeostasis (By similarity).
Subcellular Location	Cell membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.029303554
pNuLoCRegion	
