UniprotID	Q9BWU0-1
Accession	Q9BWU0;A0A087X0M4;A6NJ39;Q4KMT1;Q4KMX0;Q7Z5Q9;Q9NVN2
EntryName	NADAP_HUMAN
ProteinName	Kanadaptin (Human lung cancer oncogene 3 protein) (HLC-3) (Kidney anion exchanger adapter protein) (Solute carrier family 4 anion exchanger member 1 adapter protein)
GeneName	SLC4A1AP HLC3
Length	796
Function	
Subcellular Location	Nucleus; Cytoplasm
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.66933906
pNuLoCRegion	448...468
