UniprotID	Q9NY47-3
Accession	Q9NY47;A7MD15;Q9NY48;Q9UEW0;Q9Y268
EntryName	CA2D2_HUMAN
ProteinName	Voltage-dependent calcium channel subunit alpha-2/delta-2 (Voltage-gated calcium channel subunit alpha-2/delta-2) [Cleaved into: Voltage-dependent calcium channel subunit alpha-2-2; Voltage-dependent calcium channel subunit delta-2]
GeneName	CACNA2D2 KIAA0558
Length	1145
Function	The alpha-2/delta subunit of voltage-dependent calcium channels regulates calcium current density and activation/inactivation kinetics of the calcium channel. Acts as a regulatory subunit for P/Q-type calcium channel (CACNA1A), N-type (CACNA1B), L-type (CACNA1C OR CACNA1D) and possibly T-type (CACNA1G) (PubMed:15111129, PubMed:23339110). Overexpression induces apoptosis.
Subcellular Location	Membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.1408258
pNuLoCRegion	22...38;761...771
