UniprotID	Q08AD1-2
Accession	Q08AD1;B1APG6;Q08AD2;Q6PGN8;Q96FB3;Q9UG20;Q9UPS4
EntryName	CAMP2_HUMAN
ProteinName	Calmodulin-regulated spectrin-associated protein 2 (Calmodulin-regulated spectrin-associated protein 1-like protein 1)
GeneName	CAMSAP2 CAMSAP1L1 KIAA1078
Length	1462
Function	Key microtubule-organizing protein that specifically binds the minus-end of non-centrosomal microtubules and regulates their dynamics and organization (PubMed:23169647, PubMed:24486153, PubMed:24706919). Specifically recognizes growing microtubule minus-ends and autonomously decorates and stabilizes microtubule lattice formed by microtubule minus-end polymerization (PubMed:24486153, PubMed:24706919). Acts on free microtubule minus-ends that are not capped by microtubule-nucleating proteins or other factors and protects microtubule minus-ends from depolymerization (PubMed:24486153, PubMed:24706919). In addition, it also reduces the velocity of microtubule polymerization (PubMed:24486153, PubMed:24706919). Through the microtubule cytoskeleton, also regulates the organization of cellular organelles including the Golgi and the early endosomes (PubMed:27666745). Essential for the tethering, but not for nucleation of non-centrosomal microtubules at the Golgi: together with Golgi-associated proteins AKAP9 and PDE4DIP, required to tether non-centrosomal minus-end microtubules to the Golgi, an important step for polarized cell movement (PubMed:27666745). Also acts as a regulator of neuronal polarity and development: localizes to non-centrosomal microtubule minus-ends in neurons and stabilizes non-centrosomal microtubules, which is required for neuronal polarity, axon specification and dendritic branch formation (PubMed:24908486). Through the microtubule cytoskeleton, regulates the autophagosome transport (PubMed:28726242).
Subcellular Location	Cytoplasm; Cytoskeleton; Golgi apparatus; Cytoplasm; Cytoskeleton; Cilium basal body; Cytoplasm
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.3976689
pNuLoCRegion	
