UniprotID	Q9NS56-2
Accession	Q9NS56;O43273;Q6P987;Q9NS55;Q9UNR9
EntryName	TOPRS_HUMAN
ProteinName	E3 ubiquitin-protein ligase Topors (EC 2.3.2.27) (RING-type E3 ubiquitin transferase Topors) (SUMO1-protein E3 ligase Topors) (Topoisomerase I-binding RING finger protein) (Topoisomerase I-binding arginine/serine-rich protein) (Tumor suppressor p53-binding protein 3) (p53-binding protein 3) (p53BP3)
GeneName	TOPORS LUN TP53BPL
Length	980
Function	Functions as an E3 ubiquitin-protein ligase and as an E3 SUMO1-protein ligase. Probable tumor suppressor involved in cell growth, cell proliferation and apoptosis that regulates p53/TP53 stability through ubiquitin-dependent degradation. May regulate chromatin modification through sumoylation of several chromatin modification-associated proteins. May be involved in DNA damage-induced cell death through IKBKE sumoylation.
Subcellular Location	Nucleus; Nucleus; PML body
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.9785211
pNuLoCRegion	1...37;524...540;554...585;604...632;685...709;728...735;792...797;818...839
