UniprotID	Q9BVJ6-3
Accession	Q9BVJ6;A8K7A3;A8MVQ1;B4DQ08;E9PEL7;Q5JYF1
EntryName	UT14A_HUMAN
ProteinName	U3 small nucleolar RNA-associated protein 14 homolog A (Antigen NY-CO-16) (Serologically defined colon cancer antigen 16)
GeneName	UTP14A SDCCAG16
Length	719
Function	May be required for ribosome biogenesis.
Subcellular Location	Nucleus; Nucleolus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.52198744
pNuLoCRegion	29...33;62...68;593...616
