UniprotID	Q9P0K1-5
Accession	Q9P0K1;O75075;O75076;Q9P0K2;Q9UIA1;Q9UKK2
EntryName	ADA22_HUMAN
ProteinName	Disintegrin and metalloproteinase domain-containing protein 22 (ADAM 22) (Metalloproteinase-disintegrin ADAM22-3) (Metalloproteinase-like, disintegrin-like, and cysteine-rich protein 2)
GeneName	ADAM22 MDC2
Length	870
Function	Probable ligand for integrin in the brain. This is a non catalytic metalloprotease-like protein (PubMed:19692335). Involved in regulation of cell adhesion and spreading and in inhibition of cell proliferation. Neuronal receptor for LGI1.
Subcellular Location	Cell membrane; Cell projection; Axon
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.012179598
pNuLoCRegion	
