UniprotID	Q12767-3
Accession	Q12767;C9JL75;O75536;Q86XF1
EntryName	TMM94_HUMAN
ProteinName	Transmembrane protein 94 (Endoplasmic reticulum magnesium ATPase)
GeneName	TMEM94 ERMA KIAA0195
Length	1366
Function	Could function in the uptake of Mg(2+) from the cytosol into the endoplasmic reticulum and regulate intracellular Mg(2+) homeostasis.
Subcellular Location	Endoplasmic reticulum membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.054869432
pNuLoCRegion	2...26
