UniprotID	Q9H8M5-2
Accession	Q9H8M5;Q5T569;Q5T570;Q8WU59;Q9H952;Q9NRK5;Q9NXT4
EntryName	CNNM2_HUMAN
ProteinName	Metal transporter CNNM2 (Ancient conserved domain-containing protein 2) (Cyclin-M2)
GeneName	CNNM2 ACDP2
Length	853
Function	Divalent metal cation transporter. Mediates transport of divalent metal cations in an order of Mg(2+) > Co(2+) > Mn(2+) > Sr(2+) > Ba(2+) > Cu(2+) > Fe(2+) (By similarity).
Subcellular Location	Cell membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.03270623
pNuLoCRegion	2...22;29...34
