UniprotID	Q96PY6-4
Accession	Q96PY6;G5E9Z3;Q05DG5;Q14CB7;Q5H9T1;Q6PIB8;Q96SS2;Q9H6P7;Q9Y594
EntryName	NEK1_HUMAN
ProteinName	Serine/threonine-protein kinase Nek1 (EC 2.7.11.1) (Never in mitosis A-related kinase 1) (NimA-related protein kinase 1) (Renal carcinoma antigen NY-REN-55)
GeneName	NEK1 KIAA1901
Length	1189
Function	Phosphorylates serines and threonines, but also appears to possess tyrosine kinase activity (PubMed:20230784). Involved in DNA damage checkpoint control and for proper DNA damage repair (PubMed:20230784). In response to injury that includes DNA damage, NEK1 phosphorylates VDAC1 to limit mitochondrial cell death (PubMed:20230784). May be implicated in the control of meiosis (By similarity). Involved in cilium assembly (PubMed:21211617).
Subcellular Location	Nucleus; Cytoplasm; Cytoskeleton; Microtubule organizing center; Centrosome; Cytoplasm
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.84285575
pNuLoCRegion	280...299;349...354;363...375;390...397;419...435;556...569
