UniprotID	Q9Y5I0-2
Accession	Q9Y5I0;O75277
EntryName	PCDAD_HUMAN
ProteinName	Protocadherin alpha-13 (PCDH-alpha-13)
GeneName	PCDHA13 CNRS5
Length	807
Function	Potential calcium-dependent cell-adhesion protein. May be involved in the establishment and maintenance of specific neuronal connections in the brain.
Subcellular Location	Cell membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.009125887
pNuLoCRegion	
