UniprotID	Q7KZI7-16
Accession	Q7KZI7;Q15449;Q15524;Q5XGA3;Q68A18;Q96HB3;Q96RG0
EntryName	MARK2_HUMAN
ProteinName	Serine/threonine-protein kinase MARK2 (EC 2.7.11.1) (EC 2.7.11.26) (ELKL motif kinase 1) (EMK-1) (MAP/microtubule affinity-regulating kinase 2) (PAR1 homolog) (PAR1 homolog b) (Par-1b) (Par1b)
GeneName	MARK2 EMK1
Length	724
Function	Serine/threonine-protein kinase (PubMed:23666762). Involved in cell polarity and microtubule dynamics regulation. Phosphorylates CRTC2/TORC2, DCX, HDAC7, KIF13B, MAP2, MAP4 and RAB11FIP2. Phosphorylates the microtubule-associated protein MAPT/TAU (PubMed:23666762). Plays a key role in cell polarity by phosphorylating the microtubule-associated proteins MAP2, MAP4 and MAPT/TAU at KXGS motifs, causing detachment from microtubules, and their disassembly. Regulates epithelial cell polarity by phosphorylating RAB11FIP2. Involved in the regulation of neuronal migration through its dual activities in regulating cellular polarity and microtubule dynamics, possibly by phosphorylating and regulating DCX. Regulates axogenesis by phosphorylating KIF13B, promoting interaction between KIF13B and 14-3-3 and inhibiting microtubule-dependent accumulation of KIF13B. Also required for neurite outgrowth and establishment of neuronal polarity. Regulates localization and activity of some histone deacetylases by mediating phosphorylation of HDAC7, promoting subsequent interaction between HDAC7 and 14-3-3 and export from the nucleus. Also acts as a positive regulator of the Wnt signaling pathway, probably by mediating phosphorylation of dishevelled proteins (DVL1, DVL2 and/or DVL3). Modulates the developmental decision to build a columnar versus a hepatic epithelial cell apparently by promoting a switch from a direct to a transcytotic mode of apical protein delivery. Essential for the asymmetric development of membrane domains of polarized epithelial cells.
Subcellular Location	Cell membrane; Cytoplasm; Lateral cell membrane; Cytoplasm; Cytoskeleton; Cell projection; Dendrite; Cytoplasm
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.07659428
pNuLoCRegion	
