UniprotID	Q9NRP7-2
Accession	Q9NRP7;B7WPM3;Q8TC32;Q9H9N9;Q9UF35;Q9ULE2
EntryName	STK36_HUMAN
ProteinName	Serine/threonine-protein kinase 36 (EC 2.7.11.1) (Fused homolog)
GeneName	STK36 KIAA1278
Length	1294
Function	Serine/threonine protein kinase which plays an important role in the sonic hedgehog (Shh) pathway by regulating the activity of GLI transcription factors (PubMed:10806483). Controls the activity of the transcriptional regulators GLI1, GLI2 and GLI3 by opposing the effect of SUFU and promoting their nuclear localization (PubMed:10806483). GLI2 requires an additional function of STK36 to become transcriptionally active, but the enzyme does not need to possess an active kinase catalytic site for this to occur (PubMed:10806483). Required for postnatal development, possibly by regulating the homeostasis of cerebral spinal fluid or ciliary function. Essential for construction of the central pair apparatus of motile cilia.
Subcellular Location	Cytoplasm; Nucleus; Cytoplasm; Cytoskeleton; Cilium axoneme
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.7092267
pNuLoCRegion	7...24;26...26
