UniprotID	A8K8P3-10
Accession	A8K8P3;A1L373;A1L387;A2A2L2;B1AKL9;B5MDB7;B7Z1V6;B7Z8G3;B7ZBE2;B7ZBE3;O60289;Q2TAN8;Q5W1B5;Q86TK0;Q8N4U8;Q8N8C1;Q8WU14
EntryName	SFI1_HUMAN
ProteinName	Protein SFI1 homolog (hSFI1)
GeneName	SFI1 KIAA0542
Length	1148
Function	Plays a role in the dynamic structure of centrosome-associated contractile fibers via its interaction with CETN2.
Subcellular Location	Cytoplasm; Cytoskeleton; Microtubule organizing center; Centrosome; Centriole
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.20921865
pNuLoCRegion	
