UniprotID	Q5SZL2-4
Accession	Q5SZL2;A1A4E1;A2A3P2;A2IDE5;F8W6J2;G3V0H3;Q2TAM2;Q5T323;Q7Z5K7;Q9H289
EntryName	CE85L_HUMAN
ProteinName	Centrosomal protein of 85 kDa-like (Serologically defined breast cancer antigen NY-BR-15)
GeneName	CEP85L C6orf204
Length	808
Function	Plays an essential role in neuronal cell migration.
Subcellular Location	Cytoplasm; Cytoskeleton; Microtubule organizing center; Centrosome
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.19188635
pNuLoCRegion	62...66
