UniprotID	Q96HA1-3
Accession	Q96HA1;A6NFS9;A8CDT4;A8K933;A8MXF9;O75115;Q96DI0;Q9H9X1;Q9Y2N3;Q9Y4S7
EntryName	P121A_HUMAN
ProteinName	Nuclear envelope pore membrane protein POM 121 (Nuclear envelope pore membrane protein POM 121A) (Nucleoporin Nup121) (Pore membrane protein of 121 kDa)
GeneName	POM121 KIAA0618 NUP121 POM121A
Length	999
Function	Essential component of the nuclear pore complex (NPC). The repeat-containing domain may be involved in anchoring components of the pore complex to the pore membrane. When overexpressed in cells induces the formation of cytoplasmic annulate lamellae (AL).
Subcellular Location	Nucleus; Nuclear pore complex; Nucleus membrane; Endoplasmic reticulum membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.94930494
pNuLoCRegion	31...34;60...91;124...133;220...238;259...276
