UniprotID	Q9NTN9-2
Accession	Q9NTN9;A1A5C6;A6NJY8;Q58EY1;Q9HCF3
EntryName	SEM4G_HUMAN
ProteinName	Semaphorin-4G
GeneName	SEMA4G KIAA1619
Length	843
Function	Cell surface receptor for PLXNB2. May play a role in axon guidance (By similarity).
Subcellular Location	Cell membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.004746195
pNuLoCRegion	
