UniprotID	Q01432-5
Accession	Q01432;A0AUX0;B7Z2S2;B7Z763;B7Z877
EntryName	AMPD3_HUMAN
ProteinName	AMP deaminase 3 (EC 3.5.4.6) (AMP deaminase isoform E) (Erythrocyte AMP deaminase)
GeneName	AMPD3
Length	774
Function	AMP deaminase plays a critical role in energy metabolism.
Subcellular Location	
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.6482642
pNuLoCRegion	87...98
