UniprotID	Q7Z7G8-4
Accession	Q7Z7G8;C9JD30;Q709C6;Q709C7;Q7Z7G4;Q7Z7G5;Q7Z7G6;Q7Z7G7;Q8NB77;Q9NWV1;Q9Y4E7
EntryName	VP13B_HUMAN
ProteinName	Intermembrane lipid transfer protein VPS13B (Cohen syndrome protein 1) (Vacuolar protein sorting-associated protein 13B)
GeneName	VPS13B CHS1 COH1 KIAA0532
Length	863
Function	Mediates the transfer of lipids between membranes at organelle contact sites (By similarity). Binds phosphatidylinositol 3-phosphate (By similarity). Functions as a tethering factor in the slow endocytic recycling pathway, to assist traffic between early and recycling endosomes (PubMed:24334764, PubMed:30962439, PubMed:32375900). Involved in the transport of proacrosomal vesicles to the nuclear dense lamina (NDL) during spermatid development (By similarity). Plays a role in the assembly of the Golgi apparatus, possibly by mediating trafficking to the Golgi membrane (PubMed:21865173). Plays a role in the development of the nervous system, and may be required for neuron projection development (PubMed:25492866, PubMed:32560273). May also play a role during adipose tissue development (PubMed:26358774). Required for maintenance of the ocular lens (By similarity).
Subcellular Location	Recycling endosome membrane; Cytoplasmic vesicle; Secretory vesicle; Acrosome membrane; Golgi apparatus; cis-Golgi network membrane; Endoplasmic reticulum-Golgi intermediate compartment membrane; Golgi apparatus; trans-Golgi network membrane; Early endosome membrane; Lysosome membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.5018102
pNuLoCRegion	128...134;759...769;795...799;806...819
