UniprotID	Q9UI26-2
Accession	Q9UI26;A6NGJ5;B4DZ73;D3DW98;Q8N5R2;Q9NSJ6;Q9NVB1
EntryName	IPO11_HUMAN
ProteinName	Importin-11 (Imp11) (Ran-binding protein 11) (RanBP11)
GeneName	IPO11 RANBP11
Length	1015
Function	Functions in nuclear protein import as nuclear transport receptor. Serves as receptor for nuclear localization signals (NLS) in cargo substrates. Is thought to mediate docking of the importin/substrate complex to the nuclear pore complex (NPC) through binding to nucleoporin and the complex is subsequently translocated through the pore by an energy requiring, Ran-dependent mechanism. At the nucleoplasmic side of the NPC, Ran binds to the importin, the importin/substrate complex dissociates and importin is re-exported from the nucleus to the cytoplasm where GTP hydrolysis releases Ran. The directionality of nuclear import is thought to be conferred by an asymmetric distribution of the GTP- and GDP-bound forms of Ran between the cytoplasm and nucleus (By similarity). Mediates the nuclear import of UBE2E3, and of RPL12 (By similarity).
Subcellular Location	Cytoplasm; Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.020607414
pNuLoCRegion	
