UniprotID	Q9Y2I6-2
Accession	Q9Y2I6;A6NJN0;B3V9H6;B7Z1V8;Q5JYP0;Q8NE38;Q9NQE3
EntryName	NINL_HUMAN
ProteinName	Ninein-like protein
GeneName	NINL KIAA0980 NLP
Length	1033
Function	Involved in the microtubule organization in interphase cells. Overexpression induces the fragmentation of the Golgi, and causes lysosomes to disperse toward the cell periphery; it also interferes with mitotic spindle assembly. Involved in vesicle transport in photoreceptor cells (By similarity). May play a role in ovarian carcinogenesis.
Subcellular Location	Cytoplasm; Cytoskeleton; Microtubule organizing center; Centrosome; Cytoplasm
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.660292
pNuLoCRegion	25...65;84...95;324...341
