UniprotID	Q4G0P3-10
Accession	Q4G0P3;A6NC70;A6NLZ0;B4DQY4;B4DRN4;F5H6V3;Q8N3H8;Q8N3P6;Q8TC08;Q96JG3;Q96SS4;Q9H5U3;Q9H9B8;Q9NTI0;Q9UBE5
EntryName	HYDIN_HUMAN
ProteinName	Hydrocephalus-inducing protein homolog
GeneName	HYDIN HYDIN1 KIAA1864
Length	940
Function	Required for ciliary motility.
Subcellular Location	Cell projection; Cilium; Cytoplasm; Cytoskeleton; Cilium axoneme; Cell projection; Cilium; Flagellum
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.9055161
pNuLoCRegion	6...38
