UniprotID	Q8TEY7-2
Accession	Q8TEY7;Q8TEY6;Q96AV6;Q9H9F0;Q9UPQ5
EntryName	UBP33_HUMAN
ProteinName	Ubiquitin carboxyl-terminal hydrolase 33 (EC 3.4.19.12) (Deubiquitinating enzyme 33) (Ubiquitin thioesterase 33) (Ubiquitin-specific-processing protease 33) (VHL-interacting deubiquitinating enzyme 1) (hVDU1)
GeneName	USP33 KIAA1097 VDU1
Length	911
Function	Deubiquitinating enzyme involved in various processes such as centrosome duplication, cellular migration and beta-2 adrenergic receptor/ADRB2 recycling. Involved in regulation of centrosome duplication by mediating deubiquitination of CCP110 in S and G2/M phase, leading to stabilize CCP110 during the period which centrioles duplicate and elongate. Involved in cell migration via its interaction with intracellular domain of ROBO1, leading to regulate the Slit signaling. Plays a role in commissural axon guidance cross the ventral midline of the neural tube in a Slit-dependent manner, possibly by mediating the deubiquitination of ROBO1. Acts as a regulator of G-protein coupled receptor (GPCR) signaling by mediating the deubiquitination of beta-arrestins (ARRB1 and ARRB2) and beta-2 adrenergic receptor (ADRB2). Plays a central role in ADRB2 recycling and resensitization after prolonged agonist stimulation by constitutively binding ADRB2, mediating deubiquitination of ADRB2 and inhibiting lysosomal trafficking of ADRB2. Upon dissociation, it is probably transferred to the translocated beta-arrestins, leading to beta-arrestins deubiquitination and disengagement from ADRB2. This suggests the existence of a dynamic exchange between the ADRB2 and beta-arrestins. Deubiquitinates DIO2, thereby regulating thyroid hormone regulation. Mediates deubiquitination of both 'Lys-48'- and 'Lys-63'-linked polyubiquitin chains.
Subcellular Location	Cytoplasm; Perinuclear region; Cytoplasm; Cytoskeleton; Microtubule organizing center; Centrosome; Golgi apparatus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.56104076
pNuLoCRegion	793...805
