UniprotID	A7KAX9-2
Accession	A7KAX9;I7H0B0;O94820;Q86YL6;Q8IUG4;Q9BWG3
EntryName	RHG32_HUMAN
ProteinName	Rho GTPase-activating protein 32 (Brain-specific Rho GTPase-activating protein) (GAB-associated Cdc42/Rac GTPase-activating protein) (GC-GAP) (GTPase regulator interacting with TrkA) (Rho-type GTPase-activating protein 32) (Rho/Cdc42/Rac GTPase-activating protein RICS) (RhoGAP involved in the beta-catenin-N-cadherin and NMDA receptor signaling) (p200RhoGAP) (p250GAP)
GeneName	ARHGAP32 GRIT KIAA0712 RICS
Length	1738
Function	GTPase-activating protein (GAP) promoting GTP hydrolysis on RHOA, CDC42 and RAC1 small GTPases. May be involved in the differentiation of neuronal cells during the formation of neurite extensions. Involved in NMDA receptor activity-dependent actin reorganization in dendritic spines. May mediate cross-talks between Ras- and Rho-regulated signaling pathways in cell growth regulation. Isoform 2 has higher GAP activity (By similarity).
Subcellular Location	Postsynaptic density; Cell projection; Dendritic spine; Cytoplasm; Cell cortex; Endosome membrane; Golgi apparatus membrane; Endoplasmic reticulum membrane; Membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.66209465
pNuLoCRegion	26...34;135...147;319...322;359...362;380...396
