UniprotID	Q5VU43-2
Accession	Q5VU43;A0A0A0MRM0;A0A0C4DFQ0;A2RU15;E9PL24;O75042;O75065;Q2YDC1;Q5VU42;Q5VU44;Q5VU45;Q5VU46;Q5VU47;Q5VU48;Q5VU49;Q68DU2;Q6AZ93;Q6PK88;Q86T40;Q86TB2;Q8N3W0;Q8TAY9;Q9HCP2;Q9HCP3;Q9HCP4;Q9HCP5
EntryName	MYOME_HUMAN
ProteinName	Myomegalin (Cardiomyopathy-associated protein 2) (Phosphodiesterase 4D-interacting protein)
GeneName	PDE4DIP CMYA2 KIAA0454 KIAA0477 MMGL
Length	1132
Function	Functions as an anchor sequestering components of the cAMP-dependent pathway to Golgi and/or centrosomes (By similarity).
Subcellular Location	Golgi apparatus; Cytoplasm; Cytoskeleton; Microtubule organizing center; Centrosome; Cytoplasm; Cytoskeleton; Microtubule organizing center; Centrosome; Cytoplasm; Cytoskeleton; Golgi apparatus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.44514388
pNuLoCRegion	24...42
