UniprotID	Q8NFW9-2
Accession	Q8NFW9;B3KWM3;B3KWW4;B7Z2H1;B7Z9V3;G3XAI8;Q32M41;Q32M42;Q569F7;Q8IUF5;Q9Y3V4
EntryName	MYRIP_HUMAN
ProteinName	Rab effector MyRIP (Exophilin-8) (Myosin-VIIa- and Rab-interacting protein) (Synaptotagmin-like protein lacking C2 domains C) (SlaC2-c) (Slp homolog lacking C2 domains c)
GeneName	MYRIP SLAC2C
Length	794
Function	Rab effector protein involved in melanosome transport. Serves as link between melanosome-bound RAB27A and the motor proteins MYO5A and MYO7A. May link RAB27A-containing vesicles to actin filaments. Functions as a protein kinase A-anchoring protein (AKAP). May act as a scaffolding protein that links PKA to components of the exocytosis machinery, thus facilitating exocytosis, including insulin release (By similarity).
Subcellular Location	Cytoplasm; Cytoplasm; Perinuclear region; Cytoplasmic vesicle; Secretory vesicle
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.4758861
pNuLoCRegion	11...33;733...744
