UniprotID	Q9Y6M7-13
Accession	Q9Y6M7;A6NIA8;B2CI53;B5M449;B5M451;B5M452;B5M453;B6DY52;B6DY53;C9JST9;D3K174;D3K175;O60350;Q6AHZ9;Q9HC88;Q9UIB9
EntryName	S4A7_HUMAN
ProteinName	Sodium bicarbonate cotransporter 3 (Electroneutral Na/HCO(3) cotransporter) (Sodium bicarbonate cotransporter 2) (Sodium bicarbonate cotransporter 2b) (Bicarbonate transporter) (Solute carrier family 4 member 7)
GeneName	SLC4A7 BT NBC2 NBC2B NBC3 NBCn1 SBC2 SLC4A6
Length	1135
Function	Electroneutral sodium- and bicarbonate-dependent cotransporter with a Na(+):HCO3(-) 1:1 stoichiometry (PubMed:10347222, PubMed:12403779, PubMed:14578046, PubMed:14736710). Mediates the sodium-dependent bicarbonate transport important for pH recovery after acid load as well as for regulation of steady-state pH in the duodenum and vascular smooth muscle cells (By similarity). Plays a key role in macrophage acidification, mediating bicarbonate import into the cytoplasm which is crucial for net acid extrusion and maintenance of cytoplasmic pH during phagocytosis (PubMed:29779931). Provides cellular bicarbonate for de novo purine and pyrimidine synthesis and is a key mediator of de novo nucleotide synthesis downstream of mTORC1 signaling in proliferating cells (PubMed:35772404).
Subcellular Location	Basolateral cell membrane; Apical cell membrane; Cell projection; Stereocilium; Cell membrane; Cell membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.017719641
pNuLoCRegion	59...99;111...120
