UniprotID	Q13255-2
Accession	Q13255;B9EG79;F8W805;Q13256;Q14757;Q14758;Q5VTF7;Q5VTF8;Q9NU10;Q9UGS9;Q9UGT0
EntryName	GRM1_HUMAN
ProteinName	Metabotropic glutamate receptor 1 (mGluR1)
GeneName	GRM1 GPRC1A MGLUR1
Length	906
Function	G-protein coupled receptor for glutamate. Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of down-stream effectors. Signaling activates a phosphatidylinositol-calcium second messenger system. May participate in the central action of glutamate in the CNS, such as long-term potentiation in the hippocampus and long-term depression in the cerebellum (PubMed:24603153, PubMed:28886343, PubMed:7476890). May function in the light response in the retina (By similarity). Induces GRID1 and GRID2 cation-channel activation via GNAQ-PLC-PKC pathway in dopaminergic neurons and cerebellar Purkinje cell, respectively (PubMed:24357660, PubMed:27276689).
Subcellular Location	Cell membrane; Postsynaptic cell membrane; Cell projection; Dendrite
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.008117718
pNuLoCRegion	
