UniprotID	Q8N4C8-3
Accession	Q8N4C8;D3DTK3;D3DTK4;Q5U8Z0;Q9P1X1;Q9P2R8
EntryName	MINK1_HUMAN
ProteinName	Misshapen-like kinase 1 (EC 2.7.11.1) (GCK family kinase MiNK) (MAPK/ERK kinase kinase kinase 6) (MEK kinase kinase 6) (MEKKK 6) (Misshapen/NIK-related kinase) (Mitogen-activated protein kinase kinase kinase kinase 6)
GeneName	MINK1 B55 MAP4K6 MINK YSK2 ZC3
Length	1303
Function	Serine/threonine kinase which acts as a negative regulator of Ras-related Rap2-mediated signal transduction to control neuronal structure and AMPA receptor trafficking (PubMed:10708748, PubMed:16337592). Required for normal synaptic density, dendrite complexity, as well as surface AMPA receptor expression in hippocampal neurons (By similarity). Can activate the JNK and MAPK14/p38 pathways and mediates stimulation of the stress-activated protein kinase MAPK14/p38 MAPK downstream of the Raf/ERK pathway. Phosphorylates TANC1 upon stimulation by RAP2A, MBP and SMAD1 (PubMed:18930710, PubMed:21690388). Has an essential function in negative selection of thymocytes, perhaps by coupling NCK1 to activation of JNK1 (By similarity). Activator of the Hippo signaling pathway which plays a pivotal role in organ size control and tumor suppression by restricting proliferation and promoting apoptosis. MAP4Ks act in parallel to and are partially redundant with STK3/MST2 and STK4/MST2 in the phosphorylation and activation of LATS1/2, and establish MAP4Ks as components of the expanded Hippo pathway (PubMed:26437443).
Subcellular Location	Cytoplasm; Postsynaptic density; Cell projection; Axon; Cell projection; Dendrite; Golgi apparatus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.58703494
pNuLoCRegion	53...72;797...803;837...850
