UniprotID	Q4KMQ2-3
Accession	Q4KMQ2;A6NNM6;B9EGG0;E7ENK4;E9PB30;E9PCT2;Q8N3Q2
EntryName	ANO6_HUMAN
ProteinName	Anoctamin-6 (Small-conductance calcium-activated nonselective cation channel) (SCAN channel) (Transmembrane protein 16F)
GeneName	ANO6 TMEM16F
Length	892
Function	Small-conductance calcium-activated nonselective cation (SCAN) channel which acts as a regulator of phospholipid scrambling in platelets and osteoblasts. Phospholipid scrambling results in surface exposure of phosphatidylserine which in platelets is essential to trigger the clotting system whereas in osteoblasts is essential for the deposition of hydroxyapatite during bone mineralization. Has calcium-dependent phospholipid scramblase activity; scrambles phosphatidylserine, phosphatidylcholine and galactosylceramide (By similarity). Can generate outwardly rectifying chloride channel currents in airway epithelial cells and Jurkat T lymphocytes.
Subcellular Location	Cell membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.072194025
pNuLoCRegion	6...32;69...94;130...133
