UniprotID	Q9BQF6-5
Accession	Q9BQF6;A1L3A5;A8MW39;B7WNW8;Q7Z3F4;Q96PS5;Q9C0F6;Q9HBT5
EntryName	SENP7_HUMAN
ProteinName	Sentrin-specific protease 7 (EC 3.4.22.-) (SUMO-1-specific protease 2) (Sentrin/SUMO-specific protease SENP7)
GeneName	SENP7 KIAA1707 SSP2 SUSP2
Length	984
Function	Protease that acts as a positive regulator of the cGAS-STING pathway by catalyzing desumoylation of CGAS. Desumoylation of CGAS promotes DNA-binding activity of CGAS, subsequent oligomerization and activation (By similarity). Deconjugates SUMO2 and SUMO3 from targeted proteins, but not SUMO1 (PubMed:18799455). Catalyzes the deconjugation of poly-SUMO2 and poly-SUMO3 chains (PubMed:18799455). Has very low efficiency in processing full-length SUMO proteins to their mature forms (PubMed:18799455).
Subcellular Location	Cytoplasm
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.90207654
pNuLoCRegion	178...202;231...255;773...779
