UniprotID	Q6UXZ4-2
Accession	Q6UXZ4;Q8WYP7
EntryName	UNC5D_HUMAN
ProteinName	Netrin receptor UNC5D (Protein unc-5 homolog 4) (Protein unc-5 homolog D)
GeneName	UNC5D KIAA1777 UNC5H4 UNQ6012/PRO34692
Length	948
Function	Receptor for the netrin NTN4 that promotes neuronal cell survival (By similarity). Plays a role in cell-cell adhesion and cell guidance. Receptor for netrin involved in cell migration. Plays a role in axon guidance by mediating axon repulsion of neuronal growth cones in the developing nervous system upon ligand binding (By similarity). May play a role in apoptosis in response to DNA damage (PubMed:24691657). It also acts as a dependence receptor required for apoptosis induction when not associated with netrin ligand (PubMed:24519068). Mediates cell-cell adhesion via its interaction with FLRT3 on an adjacent cell (By similarity).
Subcellular Location	Cell membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.4939035
pNuLoCRegion	18...42;93...99;268...289
