UniprotID	Q8N7U6-3
Accession	Q8N7U6;A6ND25;A8MPR3;Q6ZWK9;Q8IV58;Q96LQ6
EntryName	EFHB_HUMAN
ProteinName	EF-hand domain-containing family member B (Cilia- and flagella-associated protein 21)
GeneName	EFHB CFAP21
Length	703
Function	Microtubule inner protein (MIP) part of the dynein-decorated doublet microtubules (DMTs) in cilia axoneme, which is required for motile cilia beating (PubMed:36191189). Cytosolic sensor for calcium, modulates the interaction of STIM1 and ORAI1 upon store depletion and the activation of store-operated Ca(2+) entry (SOCE) and NFAT translocation from cytosol to nucleus (PubMed:30481768).
Subcellular Location	Cytoplasm; Cytoskeleton; Cilium axoneme; Cytoplasm; Cytoskeleton; Flagellum axoneme; Cytoplasm
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.7328406
pNuLoCRegion	310...324;346...356;452...464;523...524
