UniprotID	Q8NDA8-2
Accession	Q8NDA8;C9JWM5;D3DWL5;Q0P612;Q569G6;Q6NVW4;Q8N230;Q8NAD1;Q8ND95;Q96JJ4
EntryName	MROH1_HUMAN
ProteinName	Maestro heat-like repeat-containing protein family member 1 (HEAT repeat-containing protein 7A)
GeneName	MROH1 HEATR7A KIAA1833
Length	1147
Function	
Subcellular Location	
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.69115704
pNuLoCRegion	35...39;102...118
