UniprotID	Q58WW2-4
Accession	Q58WW2;A2A295;B4DNB8;Q7L8I0;Q8IXH3;Q8TB19
EntryName	DCAF6_HUMAN
ProteinName	DDB1- and CUL4-associated factor 6 (Androgen receptor complex-associated protein) (ARCAP) (IQ motif and WD repeat-containing protein 1) (Nuclear receptor interaction protein) (NRIP)
GeneName	DCAF6 IQWD1 MSTP055
Length	920
Function	Ligand-dependent coactivator of nuclear receptors. Enhance transcriptional activity of the nuclear receptors NR3C1 and AR. May function as a substrate receptor for CUL4-DDB1 E3 ubiquitin-protein ligase complex.
Subcellular Location	Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.8788946
pNuLoCRegion	89...98;276...292;327...353;361...363;395...396
