UniprotID	Q5ST30-4
Accession	Q5ST30;A2ABL7;B4DET4;B4E3P5;F5GXJ0;F5H323;Q2M2A0;Q59FI1;Q5SQ96;Q5SS98;Q6DKJ5;Q6ZV24;Q96GN2;Q96H77;Q96Q02;Q9H6R2;Q9UFH7
EntryName	SYVM_HUMAN
ProteinName	Valine--tRNA ligase, mitochondrial (EC 6.1.1.9) (Valyl-tRNA synthetase) (ValRS) (Valyl-tRNA synthetase-like)
GeneName	VARS2 KIAA1885 VARS2L VARSL
Length	1093
Function	Catalyzes the attachment of valine to tRNA(Val) in a two-step reaction: valine is first activated by ATP to form Val-AMP and then transferred to the acceptor end of tRNA(Val).
Subcellular Location	Mitochondrion
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.25117552
pNuLoCRegion	21...41;86...98
