UniprotID	Q8N3P4-3
Accession	Q8N3P4;A8K8Q8;B9EIQ1;C9JB61;O94896;Q63HP2;Q9BVP9;Q9H9B0
EntryName	VPS8_HUMAN
ProteinName	Vacuolar protein sorting-associated protein 8 homolog
GeneName	VPS8 KIAA0804
Length	1426
Function	Plays a role in vesicle-mediated protein trafficking of the endocytic membrane transport pathway. Believed to act as a component of the putative CORVET endosomal tethering complexes which is proposed to be involved in the Rab5-to-Rab7 endosome conversion probably implicating MON1A/B, and via binding SNAREs and SNARE complexes to mediate tethering and docking events during SNARE-mediated membrane fusion. The CORVET complex is proposed to function as a Rab5 effector to mediate early endosome fusion probably in specific endosome subpopulations (PubMed:25266290). Functions predominantly in APPL1-containing endosomes (PubMed:25266290).
Subcellular Location	Early endosome
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.77397966
pNuLoCRegion	
