UniprotID	Q9BYT9-2
Accession	Q9BYT9;B7Z3F5
EntryName	ANO3_HUMAN
ProteinName	Anoctamin-3 (Transmembrane protein 16C)
GeneName	ANO3 C11orf25 TMEM16C GENX-3947
Length	835
Function	Has calcium-dependent phospholipid scramblase activity; scrambles phosphatidylcholine and galactosylceramide (By similarity). Seems to act as potassium channel regulator and may inhibit pain signaling; can facilitate KCNT1/Slack channel activity by promoting its full single-channel conductance at very low sodium concentrations and by increasing its sodium sensitivity (By similarity). Does not exhibit calcium-activated chloride channel (CaCC) activity (PubMed:21984732).
Subcellular Location	Cell membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.02081963
pNuLoCRegion	
