UniprotID	Q9BY12-3
Accession	Q9BY12;F5H7X8;H3BNR7;Q3B7X7;Q96BS9;Q9H3D8;Q9NT03;Q9P274
EntryName	SCAPE_HUMAN
ProteinName	S phase cyclin A-associated protein in the endoplasmic reticulum (S phase cyclin A-associated protein in the ER) (Zinc finger protein 291)
GeneName	SCAPER KIAA1454 ZNF291 MSTP063
Length	1154
Function	CCNA2/CDK2 regulatory protein that transiently maintains CCNA2 in the cytoplasm.
Subcellular Location	Endoplasmic reticulum; Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.7470553
pNuLoCRegion	21...24;148...161;283...304;638...641;722...733;785...789
