UniprotID	Q9Y597-2
Accession	Q9Y597;A0AV15;D3DTA6;Q49AG7;Q504Q9;Q6PJN6;Q8ND58;Q8NDJ0;Q8WX16
EntryName	KCTD3_HUMAN
ProteinName	BTB/POZ domain-containing protein KCTD3 (Renal carcinoma antigen NY-REN-45)
GeneName	KCTD3
Length	813
Function	Accessory subunit of potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 3 (HCN3) up-regulating its cell-surface expression and current density without affecting its voltage dependence and kinetics.
Subcellular Location	Cell membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.34426725
pNuLoCRegion	
