UniprotID	Q9BY66-3
Accession	Q9BY66;A2RU19;A6H8V7;B7ZLX1;Q92509;Q92809;Q9HCU1
EntryName	KDM5D_HUMAN
ProteinName	Lysine-specific demethylase 5D (EC 1.14.11.67) (Histocompatibility Y antigen) (H-Y) (Histone demethylase JARID1D) (Jumonji/ARID domain-containing protein 1D) (Protein SmcY) ([histone H3]-trimethyl-L-lysine(4) demethylase 5D)
GeneName	KDM5D HY HYA JARID1D KIAA0234 SMCY
Length	1570
Function	Histone demethylase that specifically demethylates 'Lys-4' of histone H3, thereby playing a central role in histone code. Does not demethylate histone H3 'Lys-9', H3 'Lys-27', H3 'Lys-36', H3 'Lys-79' or H4 'Lys-20'. Demethylates trimethylated and dimethylated but not monomethylated H3 'Lys-4'. May play a role in spermatogenesis. Involved in transcriptional repression of diverse metastasis-associated genes; in this function seems to cooperate with ZMYND8. Suppresses prostate cancer cell invasion. Regulates androgen receptor (AR) transcriptional activity by demethylating H3K4me3 active transcription marks.
Subcellular Location	Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.7976741
pNuLoCRegion	21...21;23...35;215...229;256...273
