UniprotID	Q9NVE5-3
Accession	Q9NVE5;Q6NX38;Q70EL0
EntryName	UBP40_HUMAN
ProteinName	Ubiquitin carboxyl-terminal hydrolase 40 (EC 3.4.19.12) (Deubiquitinating enzyme 40) (Ubiquitin thioesterase 40) (Ubiquitin-specific-processing protease 40)
GeneName	USP40
Length	1247
Function	May be catalytically inactive.
Subcellular Location	
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.12717634
pNuLoCRegion	
